"","weight","genus","DEPTH"
"ACANTHASTREA",-0.0143714616838861,"ACANTHASTREA",2
"ALVEOPORA",-0.0762075903981064,"ALVEOPORA",2
"ASTREOPORA",0.0307437588315979,"ASTREOPORA",2
"CATALAPHYLLIA",-0.00178509488053987,"CATALAPHYLLIA",2
"CAULASTREA",0.00729096701810337,"CAULASTREA",2
"COELOSERIS",0.0513922273522163,"COELOSERIS",2
"COSCINARAEA",-0.0105841906195096,"COSCINARAEA",2
"CTENACTIS",0.0157826718789498,"CTENACTIS",2
"CYNARINA",-0.000472282677026333,"CYNARINA",2
"CYPHASTREA",-0.386341756577625,"CYPHASTREA",2
"DIPLOASTREA",0.00332110510460808,"DIPLOASTREA",2
"ECHINOPHYLLIA",-0.00214934443402449,"ECHINOPHYLLIA",2
"ECHINOPORA",0.0756011613899872,"ECHINOPORA",2
"EUPHYLLIA",-0.0124615564260951,"EUPHYLLIA",2
"FAVIA",-0.133719065572519,"FAVIA",2
"FAVITES",-0.0952971613755811,"FAVITES",2
"FUNGIA",0.0132740551267743,"FUNGIA",2
"GALAXEA",-0.0810483986589223,"GALAXEA",2
"GARDINEROSERIS",-0.0037223257872943,"GARDINEROSERIS",2
"GONIASTREA",-0.11520136407167,"GONIASTREA",2
"GONIOPORA",-0.319596302304319,"GONIOPORA",2
"HELIOFUNGIA",0.0150971167943894,"HELIOFUNGIA",2
"HERPOLITHA",-0.0126728869249528,"HERPOLITHA",2
"HYDNOPHORA",-0.0470655903255207,"HYDNOPHORA",2
"LEPTASTREA",0.0217082548760241,"LEPTASTREA",2
"LEPTORIA",0.0541186383938108,"LEPTORIA",2
"LEPTOSERIS",-0.0105721691365864,"LEPTOSERIS",2
"LOBOPHYLLIA",0.0180437178443576,"LOBOPHYLLIA",2
"MERULINA",-0.0100226105283051,"MERULINA",2
"MONTASTREA",0.0185916917254626,"MONTASTREA",2
"MONTIPORA",-0.130764485701019,"MONTIPORA",2
"MOSELEYA",-0.0583578460617198,"MOSELEYA",2
"MYCEDIUM",-0.0169918418580597,"MYCEDIUM",2
"OULOPHYLLIA",0.0199381017870643,"OULOPHYLLIA",2
"OXYPORA",-0.00801433236371273,"OXYPORA",2
"PACHYSERIS",-0.0765107625631502,"PACHYSERIS",2
"PALAUASTREA",0.00194123529134281,"PALAUASTREA",2
"PAVONA",-0.152111888439036,"PAVONA",2
"PECTINIA",-0.0302612078635959,"PECTINIA",2
"PHYSOGYRA",9.20715466287556e-05,"PHYSOGYRA",2
"PLATYGYRA",0.0475167043322537,"PLATYGYRA",2
"PLEROGYRA",0.00251553906016459,"PLEROGYRA",2
"PLESIASTREA",-0.124769925787442,"PLESIASTREA",2
"POCILLOPORA",0.0581270358332563,"POCILLOPORA",2
"PODABACIA",-0.024681836864314,"PODABACIA",2
"POLYPHYLLIA",-3.67567636794136e-05,"POLYPHYLLIA",2
"PSAMMOCORA",-0.194146977543755,"PSAMMOCORA",2
"PSEUDOSIDERASTREA",-0.0011098082670352,"PSEUDOSIDERASTREA",2
"SANDALOLITHA",0.00342625533471905,"SANDALOLITHA",2
"SCOLYMIA",0.00140996977773179,"SCOLYMIA",2
"SERIATOPORA",0.0500217041924625,"SERIATOPORA",2
"STYLOCOENIELLA",0.00355870760169004,"STYLOCOENIELLA",2
"STYLOPHORA",0.034552229884681,"STYLOPHORA",2
"SYMPHYLLIA",0.0340670857921716,"SYMPHYLLIA",2
"TUBASTRAEA",0.00508593917885362,"TUBASTRAEA",2
"TURBINARIA",-0.27943798586261,"TURBINARIA",2
"ACB",0.657238419922307,"ACB",2
"ACD",0.0340577899443801,"ACD",2
"ACE",0.0477548108606899,"ACE",2
"ACO",0.0595795357642432,"ACO",2
"ACS",0.0425681059948252,"ACS",2
"ACT",0.0519129907695018,"ACT",2
"ACX",0.152915502272345,"ACX",2
"pm",-0.0536892882235173,"pm",2
"pb",0.0594671219433198,"pb",2
"prus",0.122521572071969,"prus",2
"psm_e",-0.0471256329350643,"psm_e",2
"ACANTHASTREA1",0.0172788083391837,"ACANTHASTREA",5
"ALVEOPORA1",-0.221307542179544,"ALVEOPORA",5
"ANACROPORA",0.00135956353339589,"ANACROPORA",5
"ASTREOPORA1",-0.0232498099112799,"ASTREOPORA",5
"CATALAPHYLLIA1",-0.00646434292442339,"CATALAPHYLLIA",5
"CAULASTREA1",-0.0406827563511099,"CAULASTREA",5
